Time (seconds),Moisture,Temp,Light
78.56,81,15,0
78.66,88,15,0
78.76,54,15,0
78.86,79,15,0
78.96,97,15,0
79.06,91,15,0
79.16,91,15,0
79.26,94,15,0
79.36,90,15,0
79.46,92,15,0
79.56,88,15,0
79.66,95,15,0
79.76,96,15,0
79.86,93,15,0
79.96,99,15,0
80.06,90,15,0
80.16,90,15,0
80.26,96,15,0
80.36,90,15,0
80.46,102,15,0
80.56,98,15,0
80.66,104,15,0
80.76,105,15,0
80.86,96,15,0
80.96,84,15,0
81.06,74,15,0
81.16,77,15,0
81.26,68,15,0
81.36,85,15,0
81.46,85,15,0
81.56,92,15,0
81.66,93,15,0
81.76,95,15,0
81.86,96,15,0
81.96,91,15,0
82.06,85,15,0
82.16,90,15,0
82.26,90,15,0
82.36,86,15,0
82.46,85,15,0
82.56,88,15,0
82.66,92,15,0
82.76,84,15,0
82.86,82,15,0
82.96,85,15,0
83.06,76,15,0
83.16,79,15,0
83.26,78,15,0
83.36,92,15,0
83.46,85,15,0
83.56,90,15,0
83.66,94,15,0
83.76,85,15,0
83.86,93,15,0
83.96,92,15,0
84.06,89,15,0
84.16,94,15,0
84.26,90,15,0
84.36,94,15,0
84.46,97,15,0
84.56,94,15,0
84.66,99,15,0
84.76,92,15,0
84.86,96,15,0
84.96,97,15,0
85.06,97,15,0
85.16,101,15,0
85.26,101,15,0
85.36,104,15,0
85.46,102,15,0
85.56,98,15,0
85.66,92,15,0
85.76,76,15,0
85.86,87,15,0
85.96,83,15,0
86.06,83,15,0
86.16,86,15,0
86.26,90,15,0
86.36,90,15,0
86.46,81,15,0
86.56,80,15,0
86.66,89,15,0
86.76,82,15,0
86.86,94,15,0
86.96,94,15,0
87.06,98,15,0
87.16,95,15,0
87.26,83,15,0
87.36,82,15,0
87.46,73,15,0
87.56,75,15,0
87.66,78,15,0
87.76,75,15,0
87.86,93,15,0
87.96,80,15,0
88.06,84,15,0
88.16,79,15,0
88.26,82,15,0
88.36,79,15,0
88.46,87,15,0
88.56,91,15,0
88.66,88,15,0
88.76,92,15,0
88.86,94,15,0
88.96,91,15,0
89.06,95,15,0
89.16,87,15,0
89.26,92,15,0
89.36,97,15,0
89.46,92,15,0
89.56,96,15,0
89.66,97,14,0
89.76,96,14,0
89.86,100,14,0
89.96,99,14,0
90.06,103,14,0
90.16,99,14,0
90.26,99,14,0
90.36,97,14,0
90.46,93,14,0
90.56,86,14,0
90.66,80,14,0
90.76,94,14,0
90.86,95,14,0
90.96,92,14,0
91.06,92,14,0
91.16,81,14,0
91.26,84,14,0
91.36,85,14,0
91.46,81,14,0
91.56,79,14,0
91.66,73,14,0
91.76,77,14,0
91.86,80,14,0
91.96,77,14,0
92.06,88,14,0
92.16,77,14,0
92.26,76,14,0
92.36,76,14,0
92.46,79,14,0
92.56,80,14,0
92.66,79,14,0
92.76,80,14,0
92.86,72,14,0
92.96,71,14,0
93.06,71,14,0
93.16,79,14,0
93.26,93,14,0
93.36,95,14,0
93.46,89,14,0
93.56,95,14,0
93.66,90,14,0
93.76,94,14,0
93.86,93,14,0
93.96,90,14,0
94.06,90,14,0
94.16,91,14,0
94.26,93,14,0
94.36,99,14,0
94.46,98,14,0
94.56,96,14,0
94.66,98,14,0
94.76,100,14,0
94.86,103,14,0
94.96,102,14,0
95.06,103,14,0
95.16,96,14,0
95.26,86,14,0
95.36,93,14,0
95.46,93,14,0
95.56,97,14,0
95.66,88,14,0
95.76,86,14,0
95.86,83,14,0
95.96,102,14,0
96.06,105,14,0
96.16,103,14,0
96.26,96,14,0
96.36,91,14,0
96.46,88,14,0
96.56,87,14,0
96.66,84,14,0
96.76,84,14,0
96.86,83,14,0
96.96,89,14,0
97.06,90,14,0
97.16,83,14,0
97.26,80,14,0
97.36,88,14,0
97.46,91,14,0
97.56,91,14,0
97.66,73,14,0
97.76,78,14,0
97.86,67,14,0
97.96,88,14,0
98.06,95,14,0
98.16,90,14,0
98.26,95,14,0
98.36,90,14,0
98.46,92,14,0
98.56,94,14,0
98.66,92,14,0
98.76,96,14,0
98.86,91,14,0
98.96,97,14,0
99.06,99,14,0
99.16,96,14,0
99.26,96,14,0
99.36,92,14,0
99.46,95,14,0
99.56,96,14,0
99.66,102,14,0
